average_per_theatre	gross	rank	production_budget	runtime	theaters	ratio	genre	Action	Drama	Comedy	Documentary	Foreign	Horror	Sci-Fi	Romance	Animation	release_year	actors	1	2	3	4	actors_sum	directors	dire_sum	distributor	dist_sum	G	GP	NC-17	Not Yet Rated	PG	PG-13	R	Unknown	Unrated
0.0	41300.4656873	0.0	750000.0	0.0	1.0	2	Comedy	0	0	1	0	0	0	0	0	0	4		0	0	0	0	0	Matthew Lillard	0	Outsider Films	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
10922.4423963	34374108.2722	1.0	0.0	104.0	3147.0	2514	Comedy	0	0	1	0	0	0	0	0	0	11	Bernie Mac,Ashton Kutcher,Zoe Saldana	1113079059	468523747	653689732	0	2235292540		0	Sony / Columbia	11144548394	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
69437.4335865	347188.18536	21.0	0.0	90.0	5.0	12	Crime	0	0	0	0	0	0	0	0	0	3	Emma Watson,Leslie Mann	3018786624	1404792197	0	0	4423578821	Sofia Coppola	84892747	A24	15447211	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
4060.72136201	10375689.202	4.0	35000000.0	126.0	2555.0	1056	Drama	0	1	0	0	0	0	0	0	0	11	Charlize Theron,Frances McDormand,Sean Bean,Woody Harrelson,Richard Jenkins,Sissy Spacek,Jeremy Renner,Amber Heard,Michelle Monaghan	747624585	667353549	1890546097	1131944079	4437468311	Niki Caro	26767033	Warner Bros.	29887152571	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
8449.74044566	8449.74044566	84.0	0.0	103.0	1.0	0	Documentary	0	0	0	1	0	0	0	0	0	3		0	0	0	0	0		0	Liberty Street Films	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
5131.0	97483.0	39.0	0.0	170.0	19.0	3	Musical	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	Eros	127287475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
8048.62644137	16097.2528827	74.0	0.0	94.0	2.0	0	Horror	0	0	0	0	0	1	0	0	0	11		0	0	0	0	0		0	Lions Gate	911703998	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
1085.30539391	1085.30539391	0.0	135000.0	90.0	1.0	0	Horror Thriller	0	0	0	0	0	1	0	0	0	5		0	0	0	0	0		0	Blackrock Films	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
10681.270785	13105563.3586	4.0	0.0	107.0	1227.0	2206	Crime Comedy	0	0	1	0	0	0	0	0	0	19	John Cusack,Minnie Driver,Alan Arkin,Dan Aykroyd	608813181	135056312	99393757	117443586	960706837	George Armitage	0	Buena Vista	19483527680	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
3756.11117356	3756.11117356	112.0	0.0	81.0	1.0	0	Foreign	0	0	0	0	1	0	0	0	0	8		0	0	0	0	0		0	Film Movement	612084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
8050.22641694	24150.6792508	68.0	0.0	103.0	3.0	1	Foreign	0	0	0	0	1	0	0	0	0	5		0	0	0	0	0		0	Sony Classics	965948575	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
5656.19437996	13139511.1939	5.0	20500000.0	90.0	2323.0	770	Horror	0	0	0	0	0	1	0	0	0	10	Kristen Bell	9998624	0	0	0	9998624		0	Weinstein / Dimension	126292673	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
3801.24615542	7601.39145762	87.0	0.0	114.0	2.0	0	Foreign	0	0	0	0	1	0	0	0	0	8		0	0	0	0	0		0	Regent Releasing	4710617	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
