actors	assoc_producers	average_per_theatre	cinematographers	composers	directors	distributor	domestic	exec_producers	foreign	genre	gross	gross2	gross_to_date	line_producers	mpaa_rating	producers	production_budget	rank	release_date	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
Lance Henriksen,Jordan Ladd,Joshua Leonard,Natasha Lyonne		3954.0			William Butler	Orion Pictures	21036771.0			Comedy	6137339.0	4196598.0	6137339.0		PG-13	Leslie Dixon		4.0	1990-02-16	91.0	1552.0		Madhouse (1990)	1990-02-16	1.0			
Lindsay Lohan,Chris Pine		2788.0		Teddy Castellucci		Fox	17326650.0		20833255.0	Romantic Comedy	7083270.0	4548844.0	7083270.0		PG-13	Arnon Milchan		4.0	2006-05-12	108.0	2541.0		Just My Luck (2006)	2006-05-12	1.0		38159905.0	
Nicole Kidman,Robert Downey, Jr.,Ty Burrell		10173.0	Bill Pope	Carter Burwell		Picturehouse	223202.0		2082639.0	Drama	40693.0	75288.0	40693.0		R			55.0	2006-11-10	118.0	4.0		Fur: An Imaginary Portrait of Diane Arbus (2006)	2006-11-10	1.0		2305841.0	
		3052.0				FUNimation Films	490643.0			Animation	372403.0	111103.0	372403.0		PG-13			28.0	2016-03-04	119.0	122.0		The Boy and the Beast (2016)	2016-03-04	1.0		490643.0	
Marlon Brando,Benicio Del Toro,Catherine Zeta-Jones		2875.0		Cliff Eidelman		Warner Bros.	8251071.0			Historical Drama	4330080.0	1991696.0	4330080.0		PG-13		40000000.0	5.0	1992-08-21	120.0	1506.0		Christopher Columbus: The Discovery (1992)	1992-08-21	1.0			
		8368.0				Sky Island Films	112313.0			Documentary	8368.0	7107.0	8368.0		Unrated			90.0	2009-10-23	120.0	1.0		Killing Kasztner (2009)	2009-10-23	1.0			
		4024.0				Universal	11113806.0			Unknown	4092000.0	2632000.0	4092000.0		PG			8.0	1984-04-06	93.0	1017.0		Hard to Hold (1984)	1984-04-06	1.0			
					Matthew Lillard	Outsider Films	41457.0			Comedy	40007.0	993.0	40007.0		R		750000.0		2012-10-05				Fat Kid Rules the World (2012)	2012-09-28	0.0			
Bernie Mac,Ashton Kutcher,Zoe Saldana		9000.0				Sony / Columbia	68915888.0		32950142.0	Comedy	28323974.0	15679254.0	28323974.0		PG-13	Erwin Stoff		1.0	2005-03-25	104.0	3147.0		Guess Who (2005)	2005-03-25	1.0		101866030.0	David Ronn,Jay Scherick
Emma Watson,Leslie Mann		68248.0			Sofia Coppola	A24	5845732.0		13300000.0	Crime	341241.0	3172064.0	341241.0		R			21.0	2013-06-14	90.0	5.0		The Bling Ring (2013)	2013-06-14	1.0		19145732.0	Sofia Coppola
Charlize Theron,Frances McDormand,Sean Bean,Woody Harrelson,Richard Jenkins,Sissy Spacek,Jeremy Renner,Amber Heard,Michelle Monaghan		3346.0			Niki Caro	Warner Bros.	18337722.0		6873453.0	Drama	8549480.0	4944463.0	8549480.0		R	Jeff Skoll,Nick Wechsler	35000000.0	4.0	2005-10-21	126.0	2555.0		North Country (2005)	2005-10-21	1.0		25211175.0	
		8305.0				Liberty Street Films	88045.0			Documentary	8305.0	22128.0	8305.0		Unrated			84.0	2013-09-06	103.0	1.0		Money for Nothing: Inside the Federal Reserve (2013)	2013-09-06	1.0			
		5131.0				Eros	208611.0			Musical	97483.0	61648.0	97483.0		Unrated			39.0	2016-01-01	170.0	19.0		Ho Mann Jahaan (2016)	2016-01-01	1.0			
		6632.0				Lions Gate	41196.0		146651.0	Horror	13264.0	27932.0	13264.0		R			74.0	2005-07-01	94.0	2.0		Undead (2005)	2005-07-01	1.0		187847.0	
		1030.0				Blackrock Films	1532.0			Horror Thriller	1030.0	502.0	1032.0		Unrated		135000.0		2011-08-05	90.0	1.0		The Tunnel (2011) (2011)	2011-08-05	1.0			
John Cusack,Minnie Driver,Alan Arkin,Dan Aykroyd		7233.0			George Armitage	Buena Vista	28084357.0			Crime Comedy	8874650.0	6179206.0	8874650.0		R	Roger Birnbaum,John Cusack,Jonathan Glickman		4.0	1997-04-11	107.0	1227.0		Grosse Pointe Blank (1997)	1997-04-11	1.0			Steve Pink
		3412.0				Film Movement	5715.0			Foreign	3412.0	2303.0	3412.0		Unrated			112.0	2008-09-19	81.0	1.0		Fraulein (2008)	2008-09-19	1.0			
		7640.0				Sony Classics	543100.0		8652414.0	Foreign	22920.0	37204.0	22920.0		R			68.0	2011-03-18	103.0	3.0		Winter in Wartime (2011)	2011-03-18	1.0		9195514.0	
Kristen Bell		4811.0				Weinstein / Dimension	20264436.0		9643249.0	Horror	11176099.0	5052499.0	11176099.0		PG-13		20500000.0	5.0	2006-08-11	90.0	2323.0		Pulse (2006)	2006-08-11	1.0		29907685.0	Wes Craven
		3453.0				Regent Releasing	15347.0		289756.0	Foreign	6905.0	2289.0	6905.0		R			87.0	2008-07-25	114.0	2.0		No Regret (2008)	2008-07-25	1.0		305103.0	
Ewan McGregor,Ben Kingsley,Jim Broadbent,Hugh Laurie		4071.0		George Fenton		Buena Vista	19478106.0		42268782.0	Animation	8198836.0	4898034.0	8198836.0		G		35000000.0	8.0	2005-08-19	76.0	2014.0		Valiant (2005)	2005-08-19	1.0		61746888.0	
Morris Chestnut,Taye Diggs,Regina Hall,Terrence Howard,Sanaa Lathan,Nia Long,Harold Perrineau		18710.0			Malcolm D. Lee	Universal	70525195.0		2310515.0	Comedy / Drama	37869590.0	17045965.0	37869590.0		R	Malcolm D. Lee	17000000.0	2.0	2013-11-15	122.0	2024.0		The Best Man Holiday (2013)	2013-11-15	1.0		72835710.0	Malcolm D. Lee
		3293.0				Innovation Film Group	1690767.0			Family Adventure	207461.0	88311.0	207461.0		G	Gerald R. Molen		41.0	2003-08-29	90.0	63.0		The Legend of Johnny Lingo (2003)	2003-08-29	1.0			
		309.0				Regent Releasing	1085.0			Action	309.0	465.0	309.0		R			134.0	2008-05-02	81.0	1.0		Kiss Me Deadly (2008)	2008-05-02	1.0			
Ben Affleck,Jon Hamm,Rebecca Hall,Chris Cooper,Jeremy Renner,Blake Lively,Pete Postlethwaite		11565.0		David Buckley,Harry Gregson-Williams	Ben Affleck	Warner Bros.	92186262.0		61839874.0	Crime Drama	33086901.0	21220519.0	33086901.0		R	Basil Iwanyk,Jon Jashni,Graham King,Thomas Tull	37000000.0	1.0	2010-09-17	123.0	2861.0		The Town (2010)	2010-09-17	1.0		154026136.0	Ben Affleck,Peter Craig
		14162.0				Eleven Arts	524451.0			Animation	325729.0	121066.0	325729.0		Unrated				2015-02-20	112.0	23.0		The Last - Naruto the Movie (2015)	2015-02-20	1.0		524451.0	
		3367.0			Peter Hyams	Warner Bros.	10736401.0			Fantasy Comedy	5403525.0	2640895.0	5403525.0		PG	Gary Barber,James G. Robinson		6.0	1992-08-14	89.0	1605.0		Stay Tuned (1992)	1992-08-14	1.0			
Patrick Swayze,Sam Elliott		4277.0		Michael Kamen	Rowdy Herrington	United Artists	30050028.0			Action	8240853.0	6296191.0	8240853.0		R	Tim Moore,Joel Silver		2.0	1989-05-19	114.0	1927.0		Road House (1989)	1989-05-19	1.0			
		1714.0				Columbia	4299023.0			Unknown	2238311.0	1227364.0	2238311.0		PG-13			6.0	1989-05-05	107.0	1306.0		Listen to Me (1989)	1989-05-05	1.0			
Jason Biggs,Chris Klein,Alyson Hannigan,Shannon Elizabeth,Tara Reid,Seann William Scott,Eugene Levy,Mena Suvari,Jennifer Coolidge		12745.0			Paul Weitz,Chris Weitz	Universal	102561004.0		132922000.0	Comedy	31963215.0	22435380.0	31963215.0		R	Chris Bender,Chris Moore,Chris Weitz	11000000.0	1.0	1999-07-09	95.0	2508.0		American Pie (1999)	1999-07-09	1.0		235483004.0	
Bradley Cooper,Ed Helms,Zach Galifianakis,Justin Bartha,John Goodman,Heather Graham,Ken Jeong,Melissa McCarthy		3316.0	Larry Sher	Christophe Beck	Todd Phillips	Warner Bros.	112200072.0		249800000.0	Comedy	11789463.0	60366191.0	11789463.0		R	Scott Budnick,Todd Phillips,J.C. Spink,Thomas Tull	103000000.0	4.0	2013-05-23	100.0	3555.0		The Hangover Part III (2013)	2013-05-17	0.0		362000072.0	Craig Mazin,Todd Phillips
		14000.0				Artistic License	578241.0			Documentary	14000.0	10363.0	14000.0		Unrated			92.0	2003-09-19	104.0	1.0		Tibet: Cry of the Snow Lion (2003)	2003-09-19	1.0			
		5202.0				Sundance Film Series	113543.0		12630208.0	Foreign	52019.0	37876.0	52019.0		R			59.0	2003-08-29	114.0	10.0		The Other Side of the Bed (2003)	2003-08-29	1.0		12743751.0	
		124668.0				CJ Entertainment	2589811.0		109567000.0	Foreign	124668.0	956625.0	124668.0		Unrated			44.0	2014-08-08	127.0	1.0		The Admiral: Roaring Currents (2014)	2014-08-08	1.0		112156811.0	
		4475.0				Reliance Big Pictures	350864.0			Foreign	223766.0	87384.0	223766.0		Unrated			33.0	2011-07-22	143.0	50.0		Singham (2011)	2011-07-22	1.0		350864.0	
Elijah Wood,Jason Schwartzman		15499.0				Warner Independent	1712337.0		1889637.0	Drama	92994.0	179576.0	92994.0		PG-13			47.0	2005-09-16	100.0	6.0		Everything Is Illuminated (2005)	2005-09-16	1.0		3601974.0	
		8707.0				Tartan	154892.0		973453.0	Drama	26120.0	25158.0	26120.0		Unrated			67.0	2007-04-13	117.0	3.0		Red Road (2007)	2007-04-13	1.0		1128345.0	
Dustin Hoffman,Geena Davis,Andy Garcia,Tom Arnold		3663.0		George Fenton	Stephen Frears	Columbia	19507345.0			Comedy	6689057.0	4715440.0	6689057.0		PG-13	Laura Ziskin		3.0	1992-10-02	118.0	1826.0		Hero (1992)	1992-10-02	1.0			Alvin Sargent
George Burns		5159.0			Paul Bogart	Warner Bros.	21538850.0			Fantasy Comedy	7139841.0	5512815.0	7139841.0		PG			1.0	1984-11-09	96.0	1384.0		Oh, God! You Devil! (1984)	1984-11-09	1.0			
		2956.0				Palm	14904.0			Foreign	2956.0	7364.0	2956.0		R			89.0	2003-12-31	119.0	1.0		Millennium Mambo (2003)	2003-12-26	0.0		14904.0	
Bradley Cooper,Ed Helms,Zach Galifianakis,Justin Bartha,Ken Jeong,Paul Giamatti,Mike Tyson,Jeffrey Tambor,Jamie Chung		8744.0	Larry Sher	Christophe Beck	Todd Phillips	Warner Bros.	254464305.0		332300000.0	Comedy	31610367.0	122816593.0	31610367.0		R	Scott Budnick,Jon Jashni,Todd Phillips,J.C. Spink,Thomas Tull	80000000.0	2.0	2011-05-26	102.0	3615.0		The Hangover Part II (2011)	2011-05-20	0.0		586764305.0	Scot Armstrong,Craig Mazin,Todd Phillips
John Goodman,Jim Broadbent,Hugh Laurie		4704.0		Harry Gregson-Williams	Peter Hewitt	PolyGram	22619589.0			Family Adventure	7220780.0	4541040.0	7220780.0		PG	Tim Bevan,Eric Fellner		6.0	1998-02-13	83.0	1535.0		The Borrowers (1998)	1998-02-13	1.0		22619589.0	
		4633.0			Michael Moore	Drafthouse	3827261.0			Documentary	1426870.0	793563.0	1426870.0		R			19.0	2016-02-12	119.0	308.0		Where to Invade Next (2016)	2016-02-12	1.0		3827261.0	
Rosario Dawson,Chloe Sevigny		81838.0				Miramax	7412216.0			Drama	163675.0	759337.0	163675.0		Unrated	Cathy Konrad,Gus Van Sant	1500000.0	17.0	1995-07-21	91.0	2.0		Kids (1995)	1995-07-21	1.0			
		2372.0				Indican	112791.0			Horror Comedy	4744.0	7628.0	4744.0		PG-13			90.0	2009-04-10	92.0	2.0		Monster Beach Party (2009)	2009-04-10	1.0			
		4000.0				Oscilloscope Pictures	18983.0			Documentary	4000.0	3348.0	4000.0		Unrated			91.0	2014-07-25	79.0	1.0		The Kill Team (2014)	2014-07-25	1.0			
						Kino	10067.0			Unknown	5373.0	2448.0	5373.0		Unrated			90.0	2003-01-27	100.0			Kedma (2003)	2003-01-31	1.0		10067.0	
Julia Roberts		8988.0		James Newton Howard	Joel Schumacher	Fox	33669178.0		48595497.0	Romance	13948798.0	7422494.0	13948798.0		R	Kevin McCormick		4.0	1991-06-21	114.0	1552.0		Dying Young (1991)	1991-06-21	1.0		82264675.0	
Jason Carrion,Samantha Close,Ivana Fred		2160.0			Antonio Santini,Dan Sickles	Strand	10761.0			Documentary	4320.0	4952.0	4320.0		Unrated			73.0	2015-07-01	90.0	2.0		Mala Mala (2015)	2015-06-26	0.0			
		19424.0		Philip Glass		Buena Vista	10407978.0		570998.0	IMAX	524443.0	327909.0	524443.0		G	Frank Marshall		29.0	2006-01-27	40.0	27.0		Roving Mars (IMAX) (2006)	2006-01-27	1.0		10978976.0	
