	actors	average_per_theatre	cinematographers	composers	directors	distributor	domestic	foreign	genre	gross	gross2	gross_to_date	mpaa_rating	producers	production_budget	rank	release_date	release_year	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
1432		1504.0			Sidney Poitier	Columbia	6148674.74861		Unknown	3849484.29127	1989737.89016	1747573.0	PG			12.0	1985-02-15		110.0	1162.0		Fast Forward (1985)	1985-02-15	1.0			
1433	Mike Myers,Dana Carvey,Rob Lowe,Chris Farley	12275.0	Theo Van de Sande		Penelope Spheeris	Paramount	205590409.162	61400000.0	Comedy	36662086.8871	24981865.4761	21701780.0	PG-13	Lorne Michaels	20000000.0	1.0	1992-02-14		95.0	1768.0		Wayne's World (1992)	1992-02-14	1.0		183097323.0	
1434	Gabrielle Union,Idris Elba	2697.0			Tyler Perry	Lionsgate	35856252.1082	242265.0	Romantic Comedy	6508072.64439	16717197.3739	5693249.0	PG-13	Tyler Perry		6.0	2007-02-14		95.0	2111.0		Tyler Perry's Daddy's Little Girls (2007)	2007-02-09	0.0		31609243.0	Tyler Perry
1435	Rebecca Hall,Catherine Keener,Amanda Peet,Oliver Platt	32471.0		Marcelo Zarvos	Nicole Holofcener	Sony Classics	4384312.32692	279511.0	Comedy / Drama	176473.621694	353193.98211	162356.0	R		3000000.0	33.0	2010-04-30		90.0	5.0		Please Give (2010)	2010-04-30	1.0		4313085.0	Nicole Holofcener
1436		5615.0				Sony Classics	27760656.7354		IMAX	107794.740903	86486.8387664	11727716.0	G			53.0	1997-07-11		38.0	13.0		Thrill Ride (IMAX) (1997)	1999-01-01	78.0			
1437	Kristen Bell,Meg Ryan,Timothy Hutton,Justin Long	1993.0			Cheryl Hines	Magnolia	27994.1164601	313675.0	Comedy	17612.4631835	8230.63923705	15942.0	R			63.0	2009-12-04		84.0	8.0		Serious Moonlight (2009)	2009-12-04	1.0		339014.0	Adrienne Shelly
1438		4340.0				AdLabs	393324.020206	4148346.0	Foreign	273323.509698	100124.345339	247400.0	Unrated			34.0	2009-01-30		156.0	57.0		Luck by Chance (2009)	2009-01-30	1.0		4504365.0	
1439	Chris Pine,Elizabeth Banks,Michelle Pfeiffer,Olivia Wilde,Philip Baker Hall,Mark Duplass,Jon Favreau	3405.0		A.R. Rahman	Alex Kurtzman	Buena Vista	12836806.6118		Drama	7222566.43135	3514938.34574	6996367.0	PG-13	Bobby Cohen,Alex Kurtzman,Roberto Orci,Clayton Townsend	16000000.0	10.0	2012-06-29		115.0	2055.0		People Like Us (2012)	2012-06-29	1.0		12434778.0	Alex Kurtzman,Jody Lambert,Roberto Orci
1440		4365.0	Tim Suhrstedt			New Line	28474980.1728		Horror Comedy	5097640.96494	3091333.14865	2357221.0	PG-13			6.0	1986-04-11		86.0	540.0		Critters (1986)	1986-04-11	1.0			
1441		7252.0				Magnolia	335022.824092		Foreign	17050.8807093	13556.7610466	14503.0	R			69.0	2006-06-16		88.0	2.0		Only Human (2006)	2006-06-16	1.0			
1442	James Caviezel	2262.0		Mark Isham		New Line	465998.759831	2023341.0	Unknown	314976.646697	125913.869688	251033.0	R	David Brewington 		36.0	2004-02-13		81.0	111.0		Highwaymen (2004)	2004-02-13	1.0		2394737.0	
1443	Juliette Binoche	22617.0				IFC	1447749.97922	4081761.0	Foreign	119159.156389	195519.347254	113087.0	Unrated			39.0	2011-03-11		106.0	5.0		Certified Copy (2011)	2011-03-11	1.0		5455736.0	
1444	Mira Sorvino,Dermot Mulroney	1015.0				Monterey Media, Inc.	15578.9068835		Thriller	1047.81594902	11157.4332779	1015.0	PG-13				2012-10-05		91.0	1.0		Trade of Innocents (2012)	2012-10-05	1.0			
1445	Daniel Day-Lewis	32866.0		Elmer Bernstein	Jim Sheridan	Miramax	28180921.8117		Drama	125641.947129	1530839.28303	65732.0	R			20.0	1989-11-10		98.0	2.0		My Left Foot (1989)	1989-11-10	1.0			Jim Sheridan
1446		985.0				Kino	4716.82640873		Drama	3474.13311012	621.934489087	2012.0	R			97.0	2006-06-08		102.0	3.0		Psychopathia Sexualis (2006)	2006-06-09	1.0			
1447	Keanu Reeves,Morgan Freeman,Rachel Weisz,Fred Ward,Brian Cox	4967.0		Jerry Goldsmith	Andrew Davis	Fox	32064825.9622	38983130.0	Action Thriller	16918262.8856	8525400.27815	11199515.0	PG-13	Erwin Stoff		4.0	1996-08-02		106.0	2255.0		Chain Reaction (1996)	1996-08-02	1.0		60209334.0	J.F. Lawton
1448		4088.0				Yash Raj	3146068.93544		Foreign	679500.900459	1912290.94757	658220.0	Unrated			20.0	2012-11-13		130.0	161.0		Jab Tak Hai Jaan (2012)	2012-11-09	0.0		3047539.0	
1449	John Ratzenberger,Kristy Swanson	2820.0				Five &amp; Two Pictures	885765.928945		Drama	70489.0140606	132438.911784	64850.0	PG			47.0	2010-08-20		100.0	23.0		What If... (2010)	2010-08-20	1.0			Andrea Gyertson Nasfell
1450	Mark Rylance,Sean Penn,Javier Bardem,Idris Elba,Ray Winstone	2402.0			Pierre Morel	Open Road Films	10664749.0	13512388.0	Thriller	6764865.0	2939610.0	6764865.0	R	Sean Penn,Joel Silver	40000000.0	4.0	2015-03-20		115.0	2816.0		The Gunman (2015)	2015-03-20	1.0		24177137.0	Don Macpherson,Pete Travis
1451		1689.0				Cinema Guild	11618.0361876		Foreign	1779.6901071	7973.30671426	1689.0	Unrated			100.0	2011-07-20			1.0		The Woman with the Five Elephants (2011)	2011-07-15	0.0			
1452	Will Patton	3901.0				Mountain Top Releasing	5925.89286262		Drama / Thriller	4294.42839626	1631.46446636	3901.0	Unrated			107.0	2008-04-18		89.0	1.0		Dog Days of Summer (2008)	2008-04-18	1.0			Travis Beachem
1453	Holly Hunter	7073.0		John Williams	Steven Spielberg	Universal	83832893.7857	30276000.0	Drama	13735479.2069	16803071.7294	7185980.0	PG	Kathleen Kennedy,Frank Marshall,Steven Spielberg,Richard Vane		6.0	1989-12-22		123.0	1016.0		Always (1989)	1989-12-22	1.0		74134790.0	
1454	Mathieu Amalric	37574.0			Julian Schnabel	Miramax	6862415.01413	13774420.0	Drama	128853.745295	101286.238606	112721.0	PG-13	Jon Kilik		34.0	2007-11-30		112.0	3.0		The Diving Bell and the Butterfly (2007)	2007-11-30	1.0		19777647.0	
1455	Pierce Brosnan,Chris Cooper,Patricia Clarkson,Rachel McAdams	8925.0				Sony Classics	1660075.64144	1380325.0	Crime Comedy	88429.3371481	147352.505543	80328.0	PG-13	Steve Golin,Sidney Kimmel	12000000.0	54.0	2008-03-07		90.0	9.0		Married Life (2008)	2008-03-07	1.0		2888315.0	Oren Moverman
1456	Matt Damon,Cecile de France,Bryce Dallas Howard,Jay Mohr,Richard Kind	39420.0			Clint Eastwood	Warner Bros.	35594442.3221	72450694.0	Drama	342778.781914	16876181.9208	315357.0	PG-13	Robert Lorenz,Tim Moore,Peter Morgan,Steven Spielberg	50000000.0	28.0	2010-10-15		129.0	8.0		Hereafter (2010)	2010-10-15	1.0		105197635.0	Peter Morgan
1457		4739.0				Sony Classics	509235.566638		Fantasy Comedy	58707.817079	68653.7220848	42653.0	R			53.0	2000-04-07		104.0	9.0		Me Myself I (2000)	2000-04-07	1.0			
1458	Billy Bob Thornton,Charlize Theron,Patrick Swayze,Natasha Richardson,Penelope Cruz	803.0				Miramax	351914.251545		Romantic Comedy	208423.448299	22631.895642	158197.0	R			44.0	2002-10-25		100.0	197.0		Waking Up in Reno (2002)	2002-10-25	1.0		267109.0	
1459	Sean Penn,John Travolta,Gena Rowlands,James Gandolfini				Nick Cassavetes	Miramax	10752818.9075		Romantic Comedy	23725.3278629	5231575.08421	16066.0	R			20.0	1997-08-27		96.0			She's So Lovely (1997)	1997-08-22	0.0			
1460		16109.0				Sony Classics	1381955.95749	6237011.0	Foreign	145255.353196	93312.5623913	112764.0	PG-13			39.0	2003-05-23		95.0	7.0		Respiro (2003)	2003-05-23	1.0		7309845.0	
1461	Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher,Judi Dench,Gerard Butler	14867.0	Robert Elswit	David Arnold		MGM	185042016.104	207706792.0	Action	61625143.6033	54460537.6111	41730490.0	PG-13	Barbara Broccoli,Michael G. Wilson		2.0	1997-12-19		119.0	2807.0		Tomorrow Never Dies (1997)	1997-12-19	1.0		333011068.0	
1462	Luke Wilson,Logan Lerman,Tim Blake Nelson,Clark Gregg	1354.0				New Line	9543739.92475	107361.0	Family Comedy	4805671.33766	3370616.87591	4087569.0	PG	Frank Marshall	15000000.0	11.0	2006-05-05		90.0	3018.0		Hoot (2006)	2006-05-05	1.0		8224998.0	
1463		4960.0				TriStar	128086.674486	10269140.0	Unknown	32676.4626681	44925.1955698	24802.0	R	Luc Besson		75.0	2002-09-27		94.0	5.0		Wasabi (2002)	2002-09-27	1.0		10366360.0	Luc Besson
1464	Christopher Walken	6793.0			Clint Eastwood	Warner Bros.	47102856.6852	20622000.0	Musical	19755907.9914	11817319.247	19732486.0	R	Clint Eastwood,Tim Headington,Graham King,Robert Lorenz,Tim Moore,Brett Ratner	40000000.0	5.0	2014-06-20		134.0	2905.0		Jersey Boys (2014)	2014-06-20	1.0		67669013.0	
1465		218.0				Icarus Films	29274.0		Documentary	218.0	10675.0	218.0	Unrated			105.0	2016-02-18		115.0	1.0		No Home Movie (2016)	2016-02-12	0.0			
1466		2926.0				Columbia	3472248.96188		Thriller	2203905.47961	1031773.26833	1100014.0	PG			14.0	1988-03-18		97.0	376.0		Little Nikita (1988)	1988-03-18	1.0			
1467	Loretta Devine ,Heather Graham ,Gabriel Iglesias ,Ken Jeong ,Colm Meaney ,Bill Nighy ,Rob Schneider	4229.0				Lionsgate	17062499.0		Animation	10196203.0	4796314.0	10196203.0	PG			6.0	2016-01-15		90.0	2411.0		Norm of the North (2016)	2016-01-15	1.0		17062499.0	
1468	Goldie Hawn,Wesley Snipes,Woody Harrelson	6246.0			Michael Ritchie	Warner Bros.	56844167.7212		Sports Comedy	14237057.5736	11528896.1415	6583416.0	R			4.0	1986-02-14		107.0	1054.0		Wildcats (1986)	1986-02-14	1.0			
1469	Sofia Vergara,Reese Witherspoon	5902.0		Christophe Beck	Anne Fletcher	Warner Bros.	34580201.0	17100000.0	Comedy	17724293.0	7720947.0	17724293.0	PG-13	Bruna Papandrea,Sofia Vergara ,Reese Witherspoon	35000000.0	2.0	2015-05-08		87.0	3003.0		Hot Pursuit (2015)	2015-05-08	1.0		51680201.0	David Feeney,John Quaintance
1470	Matt Damon,Scarlett Johansson,Elle Fanning,Patrick Fugit,Thomas Haden Church,Angus Macfadyen				Cameron Crowe	Fox	79685176.725	44457291.0	Comedy / Drama	483104.202748	483104.202748	458486.0	PG	Julie Yorn			2011-12-23		124.0			We Bought a Zoo (2011)	2011-11-25	-3.0		120081841.0	Cameron Crowe,Aline Brosh McKenna
1471	Justin Long	1097.0				Bill Plympton	6280.48022817		Animation	1289.72048115	239.838630952	1097.0	Unrated			119.0	2006-08-04		78.0	1.0		Hair High (2006)	2006-08-04	1.0			
1472	Aaron Eckhart,Julia Roberts	13100.0	Edward Lachman	Thomas Newman	Steven Soderbergh	Universal	172869911.17	130676081.0	Drama	51351873.3603	34002600.5898	37308685.0	R	Gail Lyon,Michael Shamberg,Stacey Sher	52000000.0	1.0	2000-03-17		130.0	2848.0		Erin Brockovich (2000)	2000-03-17	1.0		256271286.0	Susannah Grant
1473	Michael Keaton,Robert Duvall,Glenn Close,Marisa Tomei,Randy Quaid,Jason Robards,Jason Alexander,Catherine O'Hara	50131.0		Randy Newman	Ron Howard	Universal	62091962.421	9600000.0	Comedy / Drama	400873.793084	11204155.0329	250655.0	R	Brian Grazer,Dylan Sellers		22.0	1994-03-18		112.0	5.0		The Paper (1994)	1994-03-18	1.0		48424341.0	David Koepp
1474	Meryl Streep,Julia Roberts,Ewan McGregor,Chris Cooper,Dermot Mulroney,Julianne Nicholson,Juliette Lewis,Abigail Breslin,Benedict Cumberbatch	68354.0			John Wells	Weinstein Company	38396526.0961	36450127.0	Comedy / Drama	347725.387402	207164.641852	341769.0	R	George Clooney,Grant Heslov		31.0	2013-12-27		130.0	5.0		August: Osage County (2013)	2013-12-27	1.0		74188937.0	Tracy Letts
1475	Kevin Kline,Milla Jovovich	1882.0				Roadside Attractions	244978.837954	1241583.0	Crime Drama	193612.694601	44624.0155347	169372.0	R			40.0	2007-09-28		113.0	90.0		Trade (2007)	2007-09-28	1.0		1455890.0	
1476		32879.0				The Orchard	1028953.0		Documentary	65758.0	72909.0	65758.0	Unrated			43.0	2015-04-10		90.0	2.0		Dior and I (2015)	2015-04-10	1.0		1028953.0	
1477		3276.0				Magnolia	3882.60309374	16211978.0	Foreign	3279.88853406	602.714559678	3276.0	R			74.0	2014-01-03		110.0	1.0		Beyond Outrage (2014)	2014-01-03	1.0		16215856.0	
1478		8420.0				Universal	958444220.98	20296000.0	Sci-Fi Adventure	31231934.9467	18637538.8279	14178545.0	PG			2.0	1985-07-19		117.0	1684.0		E.T.: The Extra-Terrestrial (Re-issue) (1985)	1985-07-19	1.0		455406554.0	
1479	Tim Robbins	5185.0				Universal	35240652.0635	21667000.0	Sci-Fi Comedy	17424570.7504	9355186.4187	8057367.0	PG	Ian Bryce,George Lucas	37000000.0	2.0	1986-08-01		111.0	1554.0		Howard the Duck (1986)	1986-08-01	1.0		37962774.0	
1480	Brad Pitt,Julia Roberts,James Gandolfini	8861.0	Dariusz Wolski	Alan Silvestri	Gore Verbinski	DreamWorks	89460243.8541	81000000.0	Crime Comedy	34997364.1094	22229327.9122	26150163.0	R	Lawrence Bender,Aaron Ryder,J.H. Wyman	57000000.0	1.0	2001-03-02		123.0	2951.0		The Mexican (2001)	2001-03-02	1.0		147845033.0	J.H. Wyman
1481	James Franco,Tyrese Gibson,Jordana Brewster	5899.0		Brian Tyler	Justin Lin	Buena Vista	20137030.1581	369000.0	Action Drama	11130926.1463	5255769.67743	9467653.0	PG-13	Mark Vahradian		5.0	2006-01-27		108.0	1605.0		Annapolis (2006)	2006-01-27	1.0		17496992.0	
1482	Hilary Swank,Chloe Sevigny,Peter Sarsgaard	58243.0			Kimberly Peirce	Fox Searchlight	16418487.691		Drama	165721.262077	244548.620636	116486.0	R	John Sloss	2000000.0	40.0	1999-10-08		118.0	2.0		Boys Don't Cry (1999)	1999-10-08	1.0			Kimberly Peirce
1483		2552.0				Buena Vista	14762921.142		Unknown	7132686.38092	4066334.37481	3731602.0	R			6.0	1989-04-14		101.0	1462.0		Disorganized Crime (1989)	1989-04-14	1.0			
1484		2018.0				Excel	118428.481528		Fantasy Drama	53047.6743834	37658.9791166	48181.0	PG		300000.0	61.0	2007-09-14		105.0	23.0		Return with Honor - A Missionary Homecoming (2007)	2007-09-14	1.0			
1485	Ice Cube,Samuel L. Jackson,Willem Dafoe	4420.0		Marco Beltrami	Lee Tamahori	Sony (Revolution)	32614330.4703	44148761.0	Action Thriller	18667614.2614	8281455.29152	15381956.0	PG-13	Todd Garner,Neal H. Moritz		3.0	2005-04-29		93.0	3480.0		XXX: State of the Union (2005)	2005-04-29	1.0		71022693.0	Simon Kinberg
1486	Bill Murray	8545.0	Michael Ballhaus		Frank Oz	Buena Vista	110865187.269		Comedy	21753756.1211	22962946.5505	12500629.0	PG	Laura Ziskin		1.0	1991-05-17		99.0	1463.0		What About Bob? (1991)	1991-05-17	1.0			Alvin Sargent
1487	Colin Farrell	13070.0		Ramin Djawadi,Heitor Pereira		Paramount Classics	874525.716265	1716210.0	Romantic Thriller	107565.274623	333001.830923	91492.0	R	Tom Cruise,Paula Wagner		52.0	2006-03-10		117.0	7.0		Ask the Dust (2006)	2006-03-10	1.0		2460057.0	
1488	Ben Affleck,James Gandolfini,Christina Applegate	2016.0		Randy Edelman	Mike Mitchell	DreamWorks	14634019.2994	3457644.0	Comedy	6957151.59436	4341138.87929	5544775.0	PG-13	Patricia Whitcher		7.0	2004-10-22		92.0	2750.0		Surviving Christmas (2004)	2004-10-22	1.0		15120800.0	Deborah Kaplan & Harry Elfont,Joshua Sternin,Jeffrey Ventimilia
1489	Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloe Moretz,Clark Gregg,Minka Kelly	50880.0		Mychael Danna,Rob Simonsen	Marc Webb	Fox Searchlight	35785464.9378	28331360.0	Romance	1517701.15093	2979448.31725	1373754.0	PG-13	Mason Novick,Mark S. Waters	7500000.0	11.0	2009-07-17		95.0	27.0		(500) Days of Summer (2009)	2009-07-17	1.0		60722734.0	Scott Neustadter,Michael H. Weber
1490		8221.0				UTV Communications	1646255.97776	11089666.0	Drama	1108029.69243	370675.474988	1019389.0	Unrated			13.0	2010-06-04		178.0	124.0		Raajneeti (2010)	2010-06-04	1.0		12604224.0	
1491		4621.0				MGM	34524726.3935		Fantasy	11496675.3741	7825446.60512	4680800.0	PG			4.0	1982-08-20		118.0	1013.0		The Beastmaster (1982)	1982-08-20	1.0			
1492						Artisan	199940910.13	108100000.0	Horror	85529.5619628	4269484.24717	60119.0	R		60000.0	53.0	1999-07-16		86.0			The Blair Witch Project (1999)	1999-07-09	0.0		248639099.0	
1493		7761.0		Michael Brook	Anna Boden,Ryan Fleck	Sony Classics	1195513.0542	62314.0	Sports Drama	94320.9160891	146262.325986	85375.0	R	Anna Boden		40.0	2009-04-03		114.0	11.0		Sugar (2009)	2009-04-03	1.0		1144438.0	Anna Boden,Ryan Fleck
1494		6011.0				Fine Line	842624.339512		Documentary	8273.57251452	33296.6216434	6011.0	R			58.0	2000-03-29		108.0	1.0		The Filth and the Fury (2000)	2000-03-24	0.0			
1495	Johnny Knoxville	12458.0			Jeff Tremaine	Paramount	103780738.739	49828518.0	Comedy	42282619.2118	26339473.9412	41558336.0	R	Spike Jonze,Johnny Knoxville,Jeff Tremaine	15000000.0	1.0	2013-10-25		93.0	3336.0		Jackass Presents: Bad Grandpa (2013)	2013-10-25	1.0		151831537.0	Spike Jonze,Johnny Knoxville,Jeff Tremaine
1496		18408.0				Argot Pictures	77576.8129647		Documentary	20336.8600102	21710.1062614	18408.0	Unrated			56.0	2009-01-23		93.0	1.0		Crips and Bloods: Made in America (2009)	2009-01-23	1.0			
1497	Jamie Foxx	4710.0		Marcus Miller		Sony / Screen Gems	15388311.7863	279935.0	Romantic Comedy	7789481.5207	4652675.07805	6208133.0	PG-13		10000000.0	6.0	2004-05-14		82.0	1318.0		Breakin' All the Rules (2004)	2004-05-14	1.0		12544254.0	
1498		14639.0		Michael Nyman	Michael Winterbottom	USA Films	570181.418804		Unknown	80596.7912427	73864.792712	58556.0	R			56.0	2000-07-28		109.0	4.0		Wonderland (2000) (2000)	2000-07-28	1.0			
1499		11865.0				Paramount Classics	949191.254478		Romance	91703.6806902	143898.946125	71191.0	PG-13			52.0	2003-08-01		126.0	6.0		And Now Ladies and Gentlemen (2003)	2003-08-01	1.0		736872.0	
1500		6710.0			Madonna	IFC	24665.7171614	332222.0	Comedy	7386.72508047	11301.3591172	6774.0	Unrated			92.0	2008-10-17		84.0	1.0		Filth and Wisdom (2008)	2008-10-17	1.0		354628.0	
1501		1702.0				China Lion	69724.0225439		Foreign	41251.0882195	23743.9531517	39149.0	Unrated			56.0	2011-05-20			23.0		A Beautiful Life (2011)	2011-05-20	1.0		66171.0	
1502		3801.0			Kent Jones	Cohen Media Group	260430.0		Documentary	7602.0	44954.0	7802.0	PG-13			69.0	2015-12-02		80.0	2.0		Hitchcock/Truffaut (2015)	2015-11-27	0.0		260430.0	
1503	Kevin Bacon,Radha Mitchell,Matt Walsh	3474.0				High Top Releasing	10743603.0		Horror	6097482.0	3014897.0	6097482.0	PG-13	Jason Blum		4.0	2016-05-13		92.0	1755.0		The Darkness (2016)	2016-05-13	1.0		10743603.0	
1504		2839.0				Truly Indie	14878.224876		Foreign	6675.50856151	8202.71631448	5678.0	Unrated			88.0	2006-06-09		110.0	2.0		Autumn (2006)	2006-06-09	1.0			
1505		242.0				International Film Circuit	8463.66808461		Foreign	276.635288557	968.22350995	242.0	Unrated			133.0	2007-05-09		88.0	1.0		Allegro (2007)	2007-05-04	0.0		7404.0	
1506		7746.0				Maya Entertainment	61175.3104067		Documentary	36424.9042361	15855.2145933	30982.0	R			55.0	2006-12-08		91.0	4.0		Screamers (2006) (2006)	2006-12-08	1.0			
1507		5751.0			Ken Loach	IFC	60656.4215981	11499521.0	Comedy	12501.0663178	14445.6283248	11501.0	Unrated			68.0	2010-05-14		116.0	2.0		Looking for Eric (2010)	2010-05-14	1.0		11555325.0	
1508	William Baldwin,Kathleen Quinlan,Bruce McGill	762.0				Monterey Media, Inc.	3710.96875131		Comedy	1682.58571249	1218.5765206	1523.0	PG-13			114.0	2009-11-06		84.0	2.0		Humble Pie (2009)	2009-11-06	1.0			
1509		2729.0		John Frizzell		Destination	4345790.65573	12582.0	Comedy / Drama	2426954.97882	1160174.81611	1763256.0	PG-13	Richard Vane	14000000.0	11.0	2000-09-29		112.0	646.0		Beautiful (2000)	2000-09-29	1.0		3169930.0	
1510						Creative Thinking	2206158.62833		Documentary	7276.06713471	32937.423015	4307.0	R			17.0	1992-09-09		86.0			Brother's Keeper (1992)	1992-09-04	0.0			
1511	Scarlett Johansson,Laura Linney,Paul Giamatti,Chris Evans	3861.0				MGM (Weinstein)	29641873.5475	21807447.0	Comedy / Drama	11604251.3596	8610075.5964	10151376.0	PG-13			6.0	2007-08-24		106.0	2629.0		The Nanny Diaries (2007)	2007-08-24	1.0		47738099.0	
1512		5549.0				Eros	277740.68659	1740939.0	Foreign	241049.930984	28715.2002006	210870.0	Unrated			35.0	2007-08-03		150.0	38.0		Gandhi My Father (2007)	2007-08-03	1.0		1983906.0	
1513	Nicole Kidman,John Malkovich,Barbara Hershey,Mary-Louise Parker,Martin Donovan,Christian Bale,Viggo Mortensen		Stuart Dryburgh		Jane Campion	Gramercy	5578488.91149		Period Drama	40765.7155003	2754892.8523	26986.0	PG-13	Steve Golin		21.0	1996-12-27		144.0			The Portrait of a Lady (1996)	1996-12-20	0.0			
1514		1874.0				GKIDS	71797.120438	6677000.0	Animation	1876.22439342	7502.89519972	1874.0	Unrated				2014-07-23		120.0	1.0		A Letter to Momo (2014)	2014-07-18	0.0		6748712.0	
1515		2026.0				Warner Bros.	10771433.6107		Animation	4854495.8458	3109008.82021	2203824.0	G			7.0	1985-11-15		85.0	1088.0		Rainbow Brite and the Star Stealer (1985)	1985-11-15	1.0			
1516	Marc Blucas,Christine Lahti,Kurt Russell	1664.0				Anchor Bay Films	210835.021577		Sports Drama	85882.7115735	76113.7634694	83193.0	PG-13	Rob Cowan,George Furla		48.0	2012-04-13		118.0	50.0		Touchback (2012)	2012-04-13	1.0			
1517	Benedict Cumberbatch,Keira Knightley,Matthew Goode,Charles Dance,Mark Strong	152800.0		Alexandre Desplat	Morten Tyldum	Weinstein Company	91233847.0178	142430025.0	Drama	611924.478672	513795.139573	611199.0	PG-13	Nora Grossman,Graham Moore,Ido Ostrowsky,Teddy Schwarzman		17.0	2014-11-28		114.0	4.0		The Imitation Game (2014)	2014-11-28	1.0		233555708.0	Graham Moore
1518		143657.0				Janus Films	163351.904226		Foreign / Horror	156148.655249	2681.51731207	150000.0	Unrated				2010-01-15			1.0		House (re-release) (2010)	2010-01-15	0.0			
1519		7309.0				Sony / Columbia	2509595.73199	2245964.0	Romance	90539.9434379	119828.472724	131404.0	R			49.0	2000-04-28		95.0	9.0		Bossa Nova (2000)	2000-05-12	3.0		4069261.0	
1520		11536.0				China Lion	310978.0		Foreign	230719.0	65028.0	230719.0	Unrated			36.0	2015-01-30		88.0	20.0		Running Man (2015) (2015)	2015-01-30	1.0		310978.0	
1521	Dwayne Johnson,Karl Urban,Rosamund Pike	6178.0		Clint Mansell	Andrzej Bartkowiak	Universal	34238625.0831	27774984.0	Sci-Fi Horror	22823711.604	6830749.84209	18806545.0	R	Lorenzo di Bonaventura,John Wells	60000000.0	1.0	2005-10-21		100.0	3044.0		Doom (2005)	2005-10-21	1.0		55987321.0	
1522		2330.0				Under the Milky Way	3881.60190677		Comedy	2332.76565457	752.89260611	2330.0	Unrated			112.0	2014-09-19		95.0	1.0		Swim Little Fish Swim (2014)	2014-09-19	1.0			
1523	Virginia Madsen	2323.0				Strata Prods.	27590.5821902		Unknown	11970.6466359	4615.39082065	9293.0	PG			101.0	2003-05-09		92.0	4.0		Almost Salinas (2003)	2003-05-09	1.0			
1524						Tips	445242.875179		Unknown	327650.239783	81773.4412717	254360.0	Unrated			37.0	2003-01-17					Dil Ka Rishtaa (2003)	2003-01-17	1.0			
1525	Jay Hernandez,Mark Dacascos,Jason Scott Lee	731.0				Weinstein Company	90447.1650269	3009562.0	Period Action	25084.6478186	320.073887587	21944.0	R	Ram Bergman		65.0	2007-03-16		111.0	30.0		Nomad (The Warrior) (2007)	2007-03-16	1.0		3088685.0	
1526	Evan Rachel Wood,James Woods,Ron Livingston,Christina Applegate	10893.0			Marcos Siega	IDP	371120.320533	231326.0	Comedy	105753.514491	52615.8322325	87140.0	R			50.0	2005-08-12		104.0	8.0		Pretty Persuasion (2005)	2005-08-12	1.0		537126.0	
1527	Gwyneth Paltrow,Aaron Eckhart,Jeremy Northam,Lena Headey	8472.0		Gabriel Yared	Neil LaBute	Focus Features	13324772.9542	4702165.0	Romance	3013707.38606	2209373.92552	2287456.0	PG-13	Barry Levinson		12.0	2002-08-16		103.0	270.0		Possession (2002) (2002)	2002-08-16	1.0		14815898.0	Neil LaBute
1528	Alyson Michalka,Vanessa Hudgens,Lisa Kudrow,David Bowie	1686.0			Todd Graff	Summit Entertainment	5757015.07337	7014035.0	Comedy	3951490.12549	1370324.0981	3576709.0	PG	Ron Schmidt		13.0	2009-08-14		111.0	2121.0		Bandslam (2009)	2009-08-14	1.0		12225023.0	Josh A. Cagan,Todd Graff
1529	Neve Campbell,Malcolm McDowell,James Franco	3136.0	Andrew Dunn		Robert Altman	Sony Classics	2941991.5464	4117776.0	Drama	44432.9586848	243947.170978	34494.0	PG-13	John Sloss,John Wells	15000000.0	65.0	2003-12-25		112.0	11.0		The Company (2003)	2003-12-19	0.0		6401690.0	
1530	Russell Crowe,Christian Bale,Ben Foster,Peter Fonda,Vinessa Shaw,Alan Tudyk,Logan Lerman,Gretchen Mol,Luke Wilson	7315.0		Marco Beltrami	James Mangold	Lionsgate	61279192.8773	16409304.0	Western	22175792.3227	13902540.7662	19399339.0	R	Ryan Kavanaugh,Cathy Konrad	55000000.0	1.0	2007-09-07		117.0	2652.0		3:10 to Yuma (2007) (2007)	2007-09-07	1.0		70016220.0	
1531	Jason Segel,Cameron Diaz,Rob Corddry,Ellie Kemper,Rob Lowe	6826.0			Jake Kasdan	Sony / Columbia	38589223.1855	87526036.0	Comedy	20926341.6212	9468157.1533	20901532.0	R	Todd Black,Jason Blumenthal,Steve Tisch	40000000.0	4.0	2014-07-18		94.0	3062.0		Sex Tape (2014)	2014-07-18	1.0		126069509.0	Kate Angelo,Jason Segel,Nick Stoller
1532	George Clooney,Cate Blanchett,Tobey Maguire,Beau Bridges	23716.0		Thomas Newman	Steven Soderbergh	Warner Bros.	1538607.14202	4606212.0	War Drama	139409.73128	263300.492321	118578.0	R	Gregory Jacobs		36.0	2006-12-15		108.0	5.0		The Good German (2006)	2006-12-15	1.0		5914908.0	Paul Attanasio
1533		4145.0				Warner Bros.	22051371.6547		Unknown	9642719.34805	6254888.18714	5044774.0	PG			8.0	1989-08-04		91.0	1217.0		Young Einstein (1989)	1989-08-04	1.0			
1534		9226.0				UTV Communications	2475630.03014		Foreign	1662708.25531	636259.329316	1660737.0	Unrated			19.0	2014-07-25		150.0	180.0		Kick (2014)	2014-07-25	1.0		2472695.0	
