	actors	average_per_theatre	cinematographers	composers	directors	distributor	domestic	foreign	genre	gross	gross2	gross_to_date	mpaa_rating	producers	production_budget	rank	release_date	release_year	runtime	theaters	theatre_change	title	week	week_number	week_over_week_change	worldwide	writers
866		4515.0				Magnolia	559998.526797		Unknown	323050.88055	148369.693915	293455.0	Unrated			35.0	2008-02-15		90.0	65.0		2007 Academy Award Nominated Short Films (2008)	2008-02-15	1.0			
867		20730.0				Sony Classics	1371235.68169		Foreign	63274.8715299	98464.6575377	62161.0	PG			50.0	2013-09-13		98.0	3.0		Wadjda (U.S. only) (2013)	2013-09-13	1.0		1347747.0	
868		8353.0				Cinedigm Entertainment	147616.609486		Documentary	8498.5769949	7176.93788124	8353.0	R			69.0	2013-11-22		102.0	1.0		Narco Cultura (2013)	2013-11-22	1.0			
869	Mo'Nique,Taraji P. Henson	4909.0				Innovation Film Group	383042.809831		Comedy	234038.289794	115928.791413	186530.0	PG-13			30.0	2004-10-15		104.0	38.0		Hair Show (2004)	2004-10-15	1.0			
870	Riley Keough,Tom Hardy,Charlize Theron,Nicholas Hoult,Rosie Huntington-Whiteley	17137.0		Junkie XL	George Miller	Warner Bros.	153636354.0	224800000.0	Sci-Fi Action	63440279.0	38849255.0	63440279.0	R	George Miller	150000000.0	2.0	2015-05-15		120.0	3702.0		Mad Max: Fury Road (2015)	2015-05-15	1.0		378436354.0	Nick Lathouris,Brendan McCarthy,George Miller
871		862.0				Film Movement	9730.53622178		Foreign	863.023173493	1709.02616839	862.0	Unrated			99.0	2014-12-17		102.0	1.0		If You Don't, I Will (2014)	2014-12-12	0.0			
872	Willem Dafoe,Charlotte Gainsbourg	17838.0			Lars Von Trier	IFC	446467.434867	387745.0	Horror	118240.589931	92274.8565096	107026.0	Unrated			42.0	2009-10-23		104.0	6.0		Antichrist (2009)	2009-10-23	1.0		791867.0	
873		5436.0		Jerry Goldsmith		Buena Vista	32980380.2793		Family Adventure	10969186.4097	9397730.65828	4979746.0	PG			4.0	1985-03-22		95.0	916.0		Baby: Secret of the Lost Legend (1985)	1985-03-22	1.0			
874	America Ferrera	4598.0		Heitor Pereira		Newmarket	7711542.42523	1924596.0	Comedy / Drama	333168.960406	657330.220817	252881.0	PG-13			33.0	2002-10-18		93.0	55.0		Real Women Have Curves (2002)	2002-10-18	1.0		7777790.0	
875						Kino	79464.0584648	5699469.0	Foreign	924.730169402	11215.96063	737.0	Unrated			139.0	2004-10-13		124.0			Untold Scandal (2004)	2004-10-08	0.0		5762801.0	
876	Philip Kaufman,Fred Ward,Uma Thurman,Kevin Spacey,Gary Oldman	18171.0				Universal	20976909.4081	11905000.0	Romance	2504406.49113	3627259.56773	1381023.0	NC-17			12.0	1990-10-05		137.0	76.0		Henry & June (1990)	1990-10-05	1.0		23472449.0	
877		8766.0	Andrew Lesnie			Universal	99004224.8784	190476000.0	Family	21690041.5409	17254993.123	13946520.0	G	George Miller		3.0	1995-08-04		92.0	1591.0		Babe (1995)	1995-08-04	1.0		254134910.0	George Miller
878	Jack Nicholson,Kathy Bates	70248.0		Rolfe Kent	Alexander Payne	New Line	85658506.3695	40818269.0	Comedy / Drama	555304.876387	1721020.09354	421486.0	R	Bill Badalato	30000000.0	25.0	2002-12-13		124.0	6.0		About Schmidt (2002)	2002-12-13	1.0		105834556.0	Alexander Payne
879	Dustin Ingram,Kim Cattrall,Brian Dennehy,Keith David	5085.0				Anchor Bay Films	34816.1755587		Comedy / Drama	10715.0199521	7703.56090762	10169.0	R			75.0	2011-04-08		97.0	2.0		Meet Monica Velour (2011)	2011-04-08	1.0			
880	George Takei	15667.0				IFC	119388.0		Documentary	15667.0	23333.0	15617.0	Unrated			58.0	2015-07-10		77.0	1.0		Do I Sound Gay? (2015)	2015-07-10	1.0		119388.0	
881	Devon Sawa,Bridgette Wilson,Rupert Graves,Rufus Sewell	464.0				Paramount	6379642.58701	6117216.0	Sports Action	1101350.41161	3632441.64793	835944.0	PG-13			22.0	2002-11-27		93.0	1800.0		Extreme Ops (2002)	2002-11-22	0.0		10959475.0	
882	Karl Urban,Wentworth Miller,James Marsden,Rhona Mitra,Margarita Levieva,Eric Stonestreet,Rachael Taylor,Matthias Schoenaerts,Isabel Lucas	2039.0			Erik Van Looy	Open Road Films	6002684.0	4074106.0	Thriller	3753684.0	1945098.0	3753684.0	R	Hilde De Laere,Matt DeRoss,Steve Golin,Paul Green		11.0	2015-01-30		108.0	1841.0		The Loft (2015)	2015-01-30	1.0		10076790.0	
883	Meryl Streep,Philip Seymour Hoffman,Amy Adams,Viola Davis	47907.0	Roger Deakins	Howard Shore		Miramax	36819654.0689	17460764.0	Drama	791073.121136	2671243.44694	718600.0	PG-13	Mark Roybal,Scott Rudin	20000000.0	18.0	2008-12-12		104.0	15.0		Doubt (2008)	2008-12-12	1.0		50907234.0	
884	Forest Whitaker	10158.0				Buena Vista	137021766.426		Action Comedy	20155815.0999	18373090.4825	9660491.0	R			2.0	1987-08-07		116.0	951.0		Stakeout (1987)	1987-08-07	1.0			
885	Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo	108484.0		Michael Brook	David O. Russell	Paramount	101757450.481	35573860.0	Sports Drama	471667.699559	20266991.5401	433935.0	R	David Hoberman,Ryan Kavanaugh,Tucker Tooley,Mark Wahlberg	25000000.0	20.0	2010-12-10		114.0	4.0		The Fighter (2010)	2010-12-10	1.0		129190869.0	
886	Julianne Moore					Sony Classics	772372.688006		Unknown	16947.0846854	62578.3949657	11476.0	R	Ted Hope		17.0	1997-09-17		93.0			The Myth of Fingerprints (1997)	1997-09-12	0.0			
887	Nicolas Cage,Julianne Moore,Jessica Biel	3327.0		Mark Isham	Lee Tamahori	Paramount	20817391.885	57855828.0	Sci-Fi Thriller	10364267.9722	4496327.09931	9066641.0	PG-13	Nicolas Cage,Todd Garner,Graham King		3.0	2007-04-27		96.0	2725.0		Next (2007)	2007-04-27	1.0		76066841.0	Gary Goldman,Jonathan Hensleigh
888		895.0				Radius-TWC	11441.5647641		Documentary	2688.18703112	3699.3858771	2685.0	PG-13			103.0	2014-10-29		92.0	3.0		The Great Invisible (2014)	2014-10-24	0.0			
889	Owen Wilson,Leslie Mann,Danny McBride,Kevin Hart	4834.0		Christophe Beck	Steven Brill	Paramount	36176352.8784	16828521.0	Comedy	16263610.2093	8048233.28233	14773641.0	PG-13	Judd Apatow,Richard Vane		3.0	2008-03-21		102.0	3056.0		Drillbit Taylor (2008)	2008-03-21	1.0		49690625.0	John Hughes,Seth Rogen
890	Amy Adams,Alexandra Holden,Kirsten Dunst,Ellen Barkin,Allison Janney,Denise Richards,Kirstie Alley,Brittany Murphy	5157.0		Mark Mothersbaugh		New Line	15039636.3141		Comedy	8855507.11637	4062199.64983	6224564.0	PG-13	Gavin Polone	15000000.0	11.0	1999-07-23		98.0	1207.0		Drop Dead Gorgeous (1999)	1999-07-23	1.0			
